
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.", "% 1 $ s ir pievienota vēlmju sarakstam Noklikšķiniet <a href=""%2$s""> šeit </ a>, lai turpinātu iepirkšanās.".
"%1$s has been updated in your wishlist.", "% 1 $ s ir atjaunināta savu vēlmju sarakstu."
"%d product(s) have been added to shopping cart: %s.", "% D prece (-s) ir pievienota iepirkumu grozā:% s."
"%s for ""%s"".", "%s" "% s" "."
"%s has been moved to wishlist %s", "%s tika pārvietota uz Vēlmju% s"
"%s's Wishlist", "%s Vēlmju"
"* Required Fields", "* Obligātie lauki"
"Add All to Cart", "Pievienot visi grozam"
"Add to Cart", "Pievienot grozam"
"Add to Compare", "Salīdzināt"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"Added From", "Pievienotā"
"An error occurred while adding item to wishlist.", "Kļūda, pievienojot objektu vēlmju sarakstam."
"An error occurred while adding item to wishlist: %s", "Kļūda, pievienojot objektu vēlmju saraksts:% s"
"An error occurred while deleting the item from wishlist.", "Kļūda dzēšot objektu no vēlmju sarakstu."
"An error occurred while deleting the item from wishlist: %s", "Kļūda dzēšot preci no vēlmju saraksts:% s"
"An error occurred while updating wishlist.", "Kļūda atjauninot vēlmju sarakstu."
"Are you sure you want to remove this product from your wishlist?", "Vai tiešām vēlaties izņemt šo produktu no sava vēlmju sarakstu?"
"Are you sure you would like to remove this item from the wishlist?", "Vai jūs tiešām vēlaties, lai novērstu šo posteni no vēlmju sarakstu?"
"Back", "Atpakaļ"
"Can't delete item from wishlist", "Nevar izdzēst preci no vēlmju sarakstu"
"Can't save description %s", "Nevar saglabāt apraksts% s"
"Can't update wishlist", "Nevar atjaunināt vēlmju"
"Cannot add item to shopping cart", "Nevar pievienot objektu grozā"
"Cannot add the item to shopping cart.", "Nevar pievienot objektu iepirkumu grozā."
"Cannot configure product", "Nevar konfigurēt produkts"
"Cannot load wishlist item", "Nevar ielādēt vēlmju saraksts posteni"
"Cannot move item to wishlist", "Nevar pārvietot objektu uz vēlmju saraksts"
"Cannot specify product.", "Nevar norādīt produktu."
"Cannot specify wishlist item.", "Nevar norādīt Vēlmju objektu."
"Cannot specify wishlist.", "Nevar norādīt vēlmju sarakstu."
"Cannot update wishlist", "Nevar atjaunināt vēlmju"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.", "Atzīmējiet šo lauciņu, ja jūs vēlaties, lai pievienotu saiti uz RSS barību jūsu vēlmju sarakstu."
"Click for price", "Click par cenu"
"Comment", "Komentārs"
"Comment:", "Komentārs:"
"Configure Wishlist Item", "Konfigurēt vēlmju saraksts Item"
"Configured Price:", "Konfigurēts Cena:"
"Could not find wishlist", "Nevarēju atrast vēlmju"
"Customer My Account My Wishlist", "Klientu konts Vēlmju saraksts"
"Customer My Account Wishlist Sharing Form", "Klientu Mans konts Vēlmju dalīšanas forma"
"Customer Shared Wishlist View", "Klientu Dalīta Vēlmju View"
"Date Added", "Pievienots"
"Days in Wishlist", "Dienas vēlmju sarakstā"
"Display Wishlist Summary", "Parādīt vēlmju saraksts Summary"
"Edit", "Edit"
"Email Sender", "E-pasta sūtītājs"
"Email Template", "E-pasta veidne"
"Email address can't be empty.", "E-pasta adrese nevar būt tukšs."
"Email addresses, "E-pasta adreses
"Enabled", "Enabled"
"General Options", "Vispārīgās opcijas"
"Go to Wishlist", "Iet uz vēlmju sarakstā"
"Helper for wishlist options rendering doesn't implement required interface.", "Palīgs par Vēlmju iespējas apmetumu neīsteno prasīto interfeisu."
"In stock", "Noliktavā"
"Last Added Items", "Pēdējās pievienotās preces"
"Message", "Ziņu"
"My Wishlist", "Vēlmju"
"My Wishlist (%d item)", "Vēlmju (% d vienība)"
"My Wishlist (%d items)", "Vēlmju (% d vienības)"
"My Wishlist <small>(%d)</small>", "Vēlmju <small> (% d) </ small>"
"My Wishlist Link", "Vēlmju Link"
"Options Details", "Iespējas Detaļas"
"Out of stock", "No krājuma"
"Please enter a valid email addresses, "Lūdzu, ievadiet derīgu e-pasta adreses
"Please input a valid email address.", "Lūdzu, ievadiet derīgu e-pasta adresi."
"Please, "Lūdzu
